cdn_id	name	muscle
00011201	3-4-Sit-up	Waist
00021201	45-Side-Bend	Waist
00031201	air-bike-m	waist
00061201	Alternate-Heel-Touchers	waist
00091201	Assisted-Chest-Dip-(kneeling)	Chest
00171201	Assisted-Pull-up	Back
00191201	Assisted-Triceps-Dip-(kneeling)	Upper-Arms
00251201	Barbell-Bench-Press	Chest
00271201	Barbell-Bent-Over-Row	Back
00281201	Barbell-Clean-and-Press	Shoulders
00301201	Barbell-Close-Grip-Bench-Press	Upper-Arms
00311201	Barbell-Curl	Upper-Arms
00321201	Barbell-Deadlift	Hips-FIX
00331201	Barbell-Decline-Bench-Press	Chest
00381201	Barbell-Drag-Curl	Upper-Arms
00411101	Barbell-Front-Raise	Shoulders
00421201	Barbell-Front-Squat	Hips
00431201	Barbell-Full-Squat	Thighs
00441201	Barbell-Good-Morning	Thighs
00461201	Barbell-Hack-Squat	Hips
00471201	Barbell-Incline-Bench-Press	Chest
00541201	Barbell-Lunge	Thighs
00601201	Barbell-Lying-Triceps-Extension-Skull-Crusher	Upper-Arms
00701201	Barbell-Preacher-Curl	Upper-Arms
00721201	Barbell-Prone-Incline-Curl	Upper-Arms
00791201	Barbell-Revers-Wrist-Curl-II	Forearms
00801201	Barbell-Reverse-Curl	Forearm
00921201	Barbell-Seated-Overhead-Triceps-Extension	Upper-Arms
00951201	Barbell-Shrug	Back
01081201	Barbell-Standing-Leg-Calf-Raise	Calves
01161201	Barbell-Straight-Leg-Deadlift	Thighs
01171201	Barbell-Sumo-Deadlift	Hips
01211201	Barbell-Upright-Row	Shoulders
01221201	Barbell-Wide-Bench-Press	Chest
01471201	Bycicle-Twisting-Crunch	Waist
01501201	Cable-Bar-Lateral-Pulldown	Back
01511201	Cable-Bench-Press	Chest
01561201	Cable-Curl	Upper-Arms
01621201	Cable-Front-Raise	Shoulders
01661201	Cable-Hammer-Curl	Forearm
01751201	Cable-Kneeling-Crunch	Waist
01781201	Cable-Lateral-Raise	shoulder
01791201	Cable-Low-Fly	Chest
01801201	Cable-Low-Seated-Row	Back
01901201	Cable-One-Arm-Curl	Upper-Arms
01921201	Cable-One-Arm-Lateral-Raise	Shoulders
02011201	Cable-Pushdown	Upper-Arms
02061201	Cable-Reverse-Curl	Forearm
02081201	Cable-Reverse-grip-Straight-Back-Seated-High-Row	Back
02181201	Cable-Seated-Wide-grip-Row	Back
02201201	Cable-Shrug	Back
02371201	Cable-Straight-Arm-Pulldown-(with-rope)	Back
02381201	Cable-Straight-Arm-Pulldown	Back
02461201	Cable-Upright-Row	shoulder
02511201	Chest-Dip	Chest
02591201	Close-Grip-Push-up	Upper-Arms
02741201	Crunch-Floor-m	waist
02771201	Decline-Crunch	Waist
02791201	Decline-Push-Up	Chest
02831201	Diamond-Push-up	Upper-Arms
02871201	Dumbbell-Arnold-Press-II	Shoulders
02881201	Dumbbell-Around-Pullover	Chest
02891201	Dumbbell-Bench-Press	Chest
02901201	Dumbbell-Bench-Seated-Press	Shoulders
02921201	Dumbbell-Bent-over-Row	Back
02931201	Dumbbell-Bent-Over-Row	Back
02941201	Dumbbell-Biceps-Curl	Upper-Arms
02971201	Dumbbell-Concentration-Curl	Upper-Arms
03001201	Dumbbell-Deadlift	Hips
03011201	Dumbbell-Decline-Bench-Press	Chest
03021201	Dumbbell-Decline-Fly	Chest
03081201	Dumbbell-Fly	Chest
03101201	Dumbbell-Front-Raise	Shoulders
03121201	Dumbbell-Hammer-Curl-(version-2)	Upper-Arms
03141201	Dumbbell-Incline-Bench-Press	Chest
03151201	Dumbbell-Incline-Biceps-Curl	Upper-Arms
03191201	Dumbbell-Incline-Fly	Chest
03271201	Dumbbell-Incline-Row	Back
03331201	Dumbbell-Kickback	Upper-Arms
03341201	Dumbbell-Lateral-Raise	shoulder
03361201	Dumbbell-Lunge	Hips
03621201	Dumbbell-One-Arm-Triceps-Extension-(on-bench)	Upper-Arms
03741201	Dumbbell-Prone-Incline-Curl	Upper-Arms
03751201	Dumbbell-Pullover	Chest
03811201	Dumbbell-Rear-Lunge	Thighs
03821201	Dumbbell-Revers-grip-Biceps-Curl	Forearms
03831201	Dumbbell-Reverse-Fly	Shoulders
03961201	Dumbbell-Seated-Lateral-Raise	shoulder
04021201	Dumbbell-Seated-Preacher-Curl	Upper-Arms
04051201	Dumbbell-Seated-Shoulder-Press	Shoulders
04061201	Dumbbell-Shrug	Back
04071201	Dumbbell-Side-Bend	Waist
04091201	Dumbbell-Single-Leg-Calf-Raise	Calves
04171201	Dumbbell-Standing-Calf-Raise	Calves
04261201	Dumbbell-Standing-Overhead-Press	shoulder
04301201	Dumbbell-Standing-Triceps-Extension	Upper-Arms
04361201	Dumbbell-Tate-Press	Triceps
04371201	Dumbbell-Upright-Row	shoulder
04391201	Dumbbell-Zottman-Curl	Upper-Arms-FIX
04471201	EZ-Barbell-Curl	Upper-Arms
04631201	Front-Plank-m	waist
04741201	Hanging-Straight-Leg-Hip-Raise	Waist
04771201	High-Knee-Skips-(female)	Cardio
04991201	Inverted-Row	Back
05141201	Jump-Squat	Thighs
05351201	Kettlebell-Hang-Clean	thighs
05511201	Kettlebell-Turkish-Get-Up-(Squat-style)	Thighs
05621201	Landmine-180	waist
05731201	Lever-Back-Extension	Waist
05761201	Lever-Chest-Press-(plate-loaded)	Chest
05771201	Lever-Chest-Press	Chest
05791201	Lever-Front-Pulldown	Back
05841201	Lever-Lateral-Raise	shoulder
05851201	Lever-Leg-Extension	Thighs
05861201	Lever-Lying-Leg-Curl	Thighs
05871201	Lever-Military-Press-(plate-loaded)	shoulder
05881201	Lever-Neutral-Grip-Seated-Row-(plate-loaded)	Back-
05921201	Lever-Preacher-Curl	Upper-Arms
05931201	Lever-Reverse-Hyperextension-(plate-loaded)	Hips
05961201	Lever-Seated-Fly	Chest
05971201	Lever-Seated-Hip-Abduction	Hips
05981201	Lever-Seated-Hip-Adduction	Thighs
05991201	Lever-Seated-Leg-Curl	Thighs
06021201	Lever-Seated-Reverse-Fly	Shoulders
06041201	Lever-Shrug-(plate-loaded)	Back
06051201	Lever-Standing-Calf-Raise	Calves
06061201	Lever-T-bar-Row-(plate-loaded)	Back
06351201	Oblique-Crunches-Floor	Waist
06481201	Power-Clean	Thighs
06521201	Pull-up	Back
06621201	Push-up-m	Chest
06651201	Push-up-(female)	Chest
06841201	Run-(equipment)	Cardio
06871201	Russian-Twist	waist
06991201	Shoulder-Tap-Push-up	Plyometrics
07151201	Side-Plank-m	Waist
07251201	Single-Arm-Push-up	Chest
07341201	Sit-(wall)	Thighs
07381201	Sled-45-Calf-Press	Calves
07391201	Sled-45-Leg-Press	Hips
07431201	Sled-Hack-Squat	Hips
07461201	Smith-Back-Shrug	Back
07481201	Smith-Bench-Press	Chest
07501201	Smith-Chair-Squat	Thighs
07521201	Smith-Deadlift	Hips
07531201	Smith-Decline-Bench-Press	Chest
07571201	Smith-Incline-Bench-Press	Chest
07871201	Squat-(female)	Hips
08021201	Sumo-Squat	Thighs
08041201	Superman-(female)	Waist
08111201	Trap-Bar-Deadlift	Thighs
08141201	Triceps-Dip	Upper-Arms
08151201	Triceps-Dips-Floor	Upper-Arms
08251201	V-up	Waist
08341201	Weighted-Front-Raise	Shoulders
08511201	Weighted-Sissy-Squat	Thighs
08561201	Weighted-Svend-Press	Chest
08571201	Wheel-Rollout	Waist
08621201	Cable-twist-(up-down)	Waist
08671201	Reverse-plank	Back
08721201	Reverse-Crunch-m	waist
08831201	Lever-Horizontal-One-leg-Press	Hips
08921201	Band-Bent-over-Row-(female)	Back
10041201	Band-squat	Hips
10301201	Lever-Pec-Deck-Fly	Chest
10331201	Lever-Triceps-Extension	Upper-Arms
10371201	Lever-Standing-Rear-Kick	Hips
10431201	Weighted-Lying-Neck-Flexion	neck
10631201	Barbell-sumo-squat	Thighs
10671201	Cable-straight-arm-pulldown-II-(female)	Back
10681201	Cable-kickback-II	Upper-Arms
11601201	Burpee	Cardio
11611201	Rowing-(with-rowing-machine)	Cardio
11631201	Lying-Leg-Raise	Waist
11641201	Smith-Calf-Raise-(version-2)	Calves
11651201	Barbell-Standing-Military-Press-(without-rack)	Shoulders
11661201	Jump-Split-m	Plyometrics
11721201	Assisted-Weighted-Push-up	Chest
11971201	Squat-m	Thighs
12001201	Push-Press	Shoulders
12021201	Cable-horizontal-Pallof-Press	waist
12041201	Cable-one-arm-lat-pulldown	back
12061201	Cable-pull-through	hips
12071201	Cable-twist-(down-up)	waist
12241201	Smith-Standing-Shoulder-Press	Shoulders
12411201	Bird-Dog-male	Back
12441201	Flutter-Kicks-(version-3)	Hips
12691201	Cable-Standing-Up-Straight-Crossovers	Chest
13261201	Chin-Up	Back
13731201	Bodyweight-Standing-Calf-Raise	Calves
13991201	Bench-dip-on-floor	Upper-Arms
14021201	L-sit	Waist
14291201	Wide-Grip-Pull-Up	Back
14511201	Lever-Seated-Dip	Upper-Arms
14541201	Lever-Seated-Shoulder-Press	Shoulders
14591201	Dumbbell-Romanian-Deadlift	Hips
14601201	Walking-Lunge-Male	Hips
14741201	Bent-Leg-Kickback-(kneeling)	Hips
14791201	Lever-Incline-Chest-Press	Chest
15081201	Band-Lateral-Raise-(Version-2)	Shoulders
15451201	Barbell-full-Zercher-Squat	Thighs
15811201	Bodyweight-Rear-Lunge	Thighs
16051201	Cable-Triceps-Pushdown-(SZ-bar)	Upper-arms
16361201	Cable-Overhead-Curl	Upper-Arms
16571201	Dumbbell-Cross-Body-Hammer-Curl-(Version-2)	Upper-Arms-FIX
18601201	Hyperextension-(VERSION-2)	Hips
21261201	Captains-chair-leg-raise	Hips
21301201	Weighted-decline-crunch	Waist
21331201	Farmers-walk	Cardio
21461201	Lever-Hip-Thrust	Hips
21921201	Elliptical-Machine-Walk	Cardio
21961201	Run-(female)	Cardio
21971201	Run-on-Treadmill-(female)	Cardio
22101201	Dumbbell-Standing-Calf-Raise-(female)	Calves
22111201	Lever-Standing-Calf-Raise-(female)	Calves
22121201	Sled-Calf-Press-On-Leg-Press-(female)	Calves
22131201	Barbell-Romanian-Deadlift-(female)	Hips
22161201	Barbell-Hip-Thrust-(female)	Hips
22181201	Dumbbell-Lunge-(female)	Thighs
22201201	Dumbbell-Squat-(female)	Thighs
22231201	Lever-Lying-Leg-Curl-(female)	Thighs
22301201	Cable-Front-Raise-(female)	Shoulders
22311201	Cable-One-Arm-Lateral-Raise-(female)	Shoulders
